"id","upstreamId","queryId","schedulingThreadId","schedulingTime(us)","executionThreadId","startTime(us)","stopTime(us)","pipeline"
315633731909993,315633637245796,1,1,13109397,33,13109460,13148749,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315633888470902,315633731909993,1,1,13265958,33,13265987,13302569,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634096037073,315633888470902,1,1,13473525,33,13473549,13506623,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634218831340,315634096037073,1,1,13596319,33,13596368,13636609,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634350637081,315634218831340,1,1,13728125,33,13728163,13756524,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634487598479,315634350637081,1,1,13865086,33,13865139,13911360,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634618358211,315634487598479,1,1,13995846,33,13995882,14028706,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634707093126,315634618358211,1,1,14084581,33,14084615,14119609,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634825494768,315634707093126,1,1,14202982,33,14203020,14226728,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315634950384402,315634825494768,1,1,14327872,33,14327915,14361018,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635032305787,315634950384402,1,1,14409793,33,14409854,14443242,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635143529175,315635032305787,1,1,14521017,33,14521135,14553334,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635228143120,315635143529175,1,1,14605631,33,14605669,14648281,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635305637296,315635228143120,1,1,14683125,33,14683151,14726835,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635375169997,315635305637296,1,1,14752657,33,14752694,14782010,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635414222318,315635375140345,1,1,14791710,33,14791778,14879337,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635501959527,315635414222318,1,1,14879447,33,14879555,14922512,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635545101491,315635502026226,1,1,14922589,33,14922621,14954245,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635605899445,315635545101491,1,1,14983387,33,14983411,15016576,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635666692382,315635605899445,1,1,15044180,33,15044208,15065107,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635775547425,315635666692382,1,1,15153035,33,15153072,15184028,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635854064265,315635775547425,1,1,15231552,33,15231592,15272396,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635901722091,315635854007502,1,1,15279210,33,15279347,15351031,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315635973598785,315635901722091,1,1,15351086,33,15351150,15400343,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636022939281,315635973598785,1,1,15400427,33,15400477,15487449,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636110013927,315636022939281,1,1,15487501,33,15487546,15594615,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636217180243,315636110013927,1,1,15594668,33,15594826,15705331,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636327903951,315636217180243,1,1,15705391,33,15705452,15786421,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636408982241,315636327903951,1,1,15786470,33,15786562,15888436,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636511002929,315636408982241,1,1,15888490,33,15888551,15916739,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636539307710,315636511002929,1,1,15916795,33,15916855,15984390,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636606952652,315636539307710,1,1,15984440,33,15984509,16006191,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636628742292,315636606952652,1,1,16006230,33,16006286,16045613,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636668162465,315636628742292,1,1,16045650,33,16045722,16095328,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636717896571,315636668162465,1,1,16095384,33,16095446,16128784,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636751393400,315636717926696,1,1,16128881,33,16128913,16147685,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636770238257,315636751393400,1,1,16147726,33,16147769,16164774,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636787334421,315636770238257,1,1,16164822,33,16164851,16197507,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636820065336,315636787334421,1,1,16197553,33,16197606,16216196,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636838775637,315636820065336,1,1,16216263,33,16216315,16231971,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636854547740,315636838775637,1,1,16232035,33,16232092,16253001,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636875574885,315636854547740,1,1,16253062,33,16253097,16279535,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636902094510,315636875574885,1,1,16279582,33,16279619,16308643,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636931312887,315636902094510,1,1,16308800,33,16308910,16332373,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636954942180,315636931312887,1,1,16332430,33,16332466,16350660,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636973242400,315636954942180,1,1,16350730,33,16350785,16370340,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315636992919536,315636973242400,1,1,16370407,33,16370478,16387905,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637010468751,315636992919536,1,1,16387956,33,16387998,16408404,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637030968740,315637010468751,1,1,16408456,33,16408502,16431821,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637054375525,315637030968740,1,1,16431863,33,16431908,16453702,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637076281943,315637054375525,1,1,16453769,33,16453820,16474709,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637097286322,315637076281943,1,1,16474774,33,16474826,16495784,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637118359909,315637097286322,1,1,16495847,33,16495908,16513526,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637136107223,315637118359909,1,1,16513595,33,16513658,16536064,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637158638625,315637136107223,1,1,16536126,33,16536178,16560608,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637183181082,315637158638625,1,1,16560669,33,16560724,16595867,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637218452726,315637183181082,1,1,16595940,33,16596006,16631396,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637253967572,315637218452726,1,1,16631455,33,16631511,16662169,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637284791108,315637253967572,1,1,16662279,33,16662351,16683923,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637306479926,315637284791108,1,1,16683967,33,16684024,16708175,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637330754619,315637306479926,1,1,16708242,33,16708283,16733183,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637355746070,315637330754619,1,1,16733234,33,16733302,16749271,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637371838257,315637355746070,1,1,16749326,33,16749372,16773005,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637395569433,315637371838257,1,1,16773057,33,16773106,16795721,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637418280384,315637395569433,1,1,16795768,33,16795820,16827259,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637449834313,315637418280384,1,1,16827322,33,16827372,16845859,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637468431527,315637449834313,1,1,16845919,33,16845966,16868763,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637491343212,315637468431527,1,1,16868831,33,16868878,16887080,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637509699220,315637491343212,1,1,16887187,33,16887279,16908052,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637530638379,315637509699220,1,1,16908126,33,16908171,16927411,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637550016363,315637530638379,1,1,16927504,33,16927538,16940659,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637563236800,315637550016363,1,1,16940724,33,16940785,16989531,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637612110239,315637563236800,1,1,16989598,33,16989651,17029736,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637652317194,315637612110239,1,1,17029805,33,17029878,17066248,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637688818654,315637652317194,1,1,17066306,33,17066357,17094032,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637716619822,315637688818654,1,1,17094107,33,17094191,17131425,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
